Total_carbon_emissions,CSR_board_size,Indirect_carbon_emissions,Disclosure_scores,Controversy_level,Disclosure_of_R&D,Renewal_energy,Environmental_scores,Climate_change_policy,Waste_management,Planning_zero_carbon,Issue_green_bonds,Direct_carbon_emissions,MSCI_ESG_index,CSR_commitee,Water_treatment,Scope3_carbon_emissions,Biodiversity,Net_zero_targets,Govt_collaboration,ESG_funds,GHG_sales,Recycling,SDG_targets,Dow_jones_sustainability_index,Energy_conservation,Risk_score
0.0,0,0.0,39.92,0,0,0,14.38,0,0,0,0,0.0,0,0,0,0.0,0,0,0,43,34.2,0,1,0,0,0.0
64.95,4,54.5,55.76,2,1,0,27.54,0,1,1,0,10.45,3,1,1,20.08,0,1,1,930,1.39,0,3,1,1,14.4
33.75,0,16.53,35.21,1,0,0,5.26,0,1,0,0,17.22,3,0,1,0.0,0,0,0,509,3.04,0,3,1,1,25.62
0.0,0,0.0,38.51,2,0,0,14.38,0,1,0,0,0.0,3,0,0,0.0,0,1,0,634,70.83,0,1,1,0,18.81
777.98,0,736.06,66.59,2,1,1,66.99,1,1,0,0,41.91,3,0,1,34545.8,1,1,1,1391,14.59,1,3,1,1,12.07
721.35,5,700.25,60.62,4,0,1,42.62,1,1,0,1,21.1,3,1,1,151.38,1,1,1,904,7.49,0,3,1,1,27.1
56.86,0,0.0,36.12,2,0,0,0.76,0,0,0,0,0.0,3,0,0,0.0,0,0,0,686,6.68,0,1,1,0,22.33
274.0,5,199.0,58.56,2,0,0,39.14,0,1,0,0,75.0,3,1,1,306.0,1,0,0,808,45.62,1,3,1,1,21.08
20120.0,0,7229.25,53.41,2,0,1,43.13,1,1,0,0,12891.0,3,0,1,14186.2,1,1,0,347,1964.23,0,3,1,1,21.29
879.43,3,478.83,61.79,3,1,0,57.41,1,1,0,0,400.6,3,1,1,56591.8,1,1,0,1121,45.57,1,3,1,1,22.56
0.0,0,0.0,40.32,2,0,0,16.79,1,1,0,0,0.0,3,0,1,0.0,0,1,0,779,6.9,0,1,1,1,14.38
617.31,0,415.89,72.09,3,1,0,62.22,1,1,0,0,201.43,3,0,1,54086.0,1,1,0,1152,38.46,1,3,1,1,22.12
0.0,0,0.0,46.12,2,0,0,15.61,0,1,0,0,0.0,3,0,0,0.0,0,1,0,950,20.96,0,2,1,1,24.76
0.0,0,0.0,34.76,0,1,0,5.89,1,1,0,0,0.0,0,0,1,0.0,0,0,0,113,451.71,0,1,1,1,0.0
212.08,0,120.14,48.15,0,0,0,33.89,1,1,0,0,91.95,0,0,1,0.0,1,0,0,99,23.51,1,1,1,1,14.76
0.0,0,0.0,41.4,0,0,0,16.46,0,1,0,0,0.0,0,0,1,0.0,0,0,1,66,42.67,0,1,1,1,0.0
710.0,5,363.17,61.08,2,1,0,70.1,1,1,0,0,346.83,3,1,1,330.54,0,0,0,648,80.53,1,3,1,1,32.76
20600.0,4,1200.0,63.02,2,0,0,52.4,1,1,0,0,19400.0,3,1,1,189083.0,1,1,1,590,483.41,0,3,1,1,34.9
4335.0,5,1320.0,51.42,3,0,1,31.35,1,1,0,0,30.15,3,1,1,33900.0,1,0,1,721,335.88,0,1,1,1,23.09
303.84,0,66.27,47.32,2,0,0,35.7,1,0,0,0,237.58,3,0,1,597.75,0,0,0,491,50.85,0,2,1,0,25.79
0.0,0,0.0,33.53,0,0,0,0.33,0,0,0,0,0.0,0,0,0,0.0,0,0,0,7,16.3,0,1,1,1,0.0
0.0,3,0.0,40.82,2,1,0,17.55,0,1,0,0,0.0,3,1,1,0.0,0,0,0,570,176.3,0,0,1,1,19.42
2358.63,0,0.0,39.46,3,0,0,16.79,0,1,0,0,0.0,3,0,1,0.0,0,0,1,813,17.5,1,1,1,1,24.19
104.91,0,64.5,43.19,2,0,0,24.59,0,0,0,0,40.41,0,0,0,54.07,0,0,0,92,13.58,0,1,1,0,32.7
0.0,0,0.0,33.51,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,1,0,860,13.16,0,1,1,0,13.2
0.0,0,0.0,40.45,1,1,1,2.42,0,1,0,0,0.0,3,0,1,0.0,0,0,0,414,139.1,1,3,1,1,9.81
4927.4,5,220.7,57.31,3,1,0,57.2,0,1,0,0,4706.71,3,1,1,181.41,1,0,0,823,385.68,0,1,1,1,20.09
845.47,6,540.67,64.69,2,1,1,69.59,0,1,0,0,304.81,3,1,1,1005310.0,0,1,0,982,35.98,1,1,1,1,19.36
1425.23,5,1218.29,55.64,3,1,0,36.67,0,1,0,0,206.94,3,1,1,72.71,0,1,0,959,4.69,1,3,1,1,22.86
0.0,0,0.0,32.24,2,0,0,0.42,0,0,0,0,0.0,3,0,0,0.0,0,0,0,576,2.47,0,1,1,1,22.06
624.33,0,0.0,42.43,0,1,0,21.56,0,1,0,0,0.0,0,0,1,0.0,0,0,1,134,71.96,0,3,1,1,0.0
0.0,4,0.0,37.6,2,0,0,15.19,0,1,0,0,0.0,3,1,0,0.0,0,0,0,1184,15.29,1,1,1,0,11.73
719.99,0,0.0,46.78,2,0,0,17.12,1,1,0,0,0.0,3,0,1,0.0,0,0,0,530,127.53,0,1,1,1,28.06
0.0,0,0.0,37.63,2,0,0,7.19,0,1,0,0,0.0,3,0,1,0.0,0,0,1,706,26.89,0,3,1,1,22.72
0.0,0,0.0,28.26,0,0,0,5.13,0,0,0,0,9245.62,0,0,0,0.0,0,1,0,17,1507.64,0,1,1,0,0.0
947.95,0,0.0,45.74,2,1,0,19.45,0,0,0,0,0.0,3,0,1,0.0,0,0,0,1137,56.76,0,3,1,1,16.64
0.0,3,0.0,34.77,0,0,0,0.33,0,0,0,0,0.0,0,1,0,0.0,0,0,0,73,649.75,0,1,1,0,0.0
625.6,0,564.6,45.7,2,0,1,34.07,0,1,0,0,61.0,3,0,1,446.8,0,0,1,583,4.72,1,3,1,1,16.22
